词,频次
的,25565
在,7779
和,4779
是,4534
也,3318
了,3153
与,3140
月,2850
中国,2322
将,2217
年,2122
AI,2115
这,2094
他,1991
日,1937
说,1891
对,1831
并,1794
为,1794
有,1702
但,1672
中,1663
公司,1622
上,1498
美国,1494
等,1459
不,1453
更,1441
人,1439
会,1320
后,1249
被,1211
已,1190
时,1179
我们,1160
以,1136
从,1125
我,1111
就,1110
都,1108
到,1097
一个,1083
让,1011
新加坡,997
能,970
市场,964
或,931
至,928
可能,924
而,917
模型,900
约,883
企业,880
她,841
多,835
以及,825
新,820
8,809
及,797
它,766
全球,763
报道,755
还,749
科技,747
大,733
发展,697
可,662
把,653
认为,653
技术,653
问题,652
今年,650
包括,649
国家,647
指出,646
于,645
没有,643
人工智能,641
他们,634
3,634
通过,633
目前,627
增长,614
伊朗,610
亿美元,606
投资,591
一,588
1,584
称,579
向,577
经济,575
持续,569
仍,565
自己,564
前,563
这些,561
能力,560
10,559
5,556
则,556
数据,549
机器人,549
这个,547
由,546
工作,541
下,539
要,534
提供,533
相关,530
最,519
成为,518
合作,512
计划,508
可以,508
政府,499
进行,492
岁,491
发布,489
4,489
支持,488
个,488
显示,482
表示,479
来,473
影响,472
未来,463
需要,463
你,461
超过,460
同时,457
不是,456
领域,454
据,453
使用,452
高,451
重要,445
6,440
做,432
安全,427
亿,426
正,423
完成,419
集团,415
平台,414
业务,412
去年,411
7,410
着,407
万,402
2,401
开始,400
研究,399
如果,399
已经,398
很,398
产品,397
曾,385
美元,382
其,381
20,377
其中,376
地,375
希望,374
时间,374
系统,374
因为,372
服务,372
推动,366
里,365
主要,364
员工,362
不过,362
根据,359
其他,358
继续,355
正在,354
过去,350
2026,350
内,349
获得,348
用,346
宣布,345
智能,343
需求,342
比,341
行业,339
再,338
活动,335
台湾,335
给,333
老,333
世界,332
特朗普,332
又,331
方面,330
因此,329
项目,326
起,326
进一步,324
预计,324
因,321
2025,319
部分,314
风险,314
就是,313
提升,309
该,308
星期三,306
不同,306
用户,305
应用,305
国际,304
成本,301
推出,298
本地,297
元,297
得,297
而是,297
媒体,295
规模,294
出现,293
核心,291
情况,290
12,290
新元,288
机构,287
自,286
9,283
过,283
目标,281
较,280
中心,280
实现,280
亿元,278
带来,277
政策,276
英,276
发生,275
Anthropic,274
文化,273
团队,273
作为,273
去,271
北京,271
方式,270
才,267
最大,266
进入,265
一些,263
伟达,263
家庭,263
30,262
两,261
综合,261
如何,260
发现,260
甚至,260
之,258
孩子,258
长期,255
传统,255
名,255
投资者,255
要求,254
不会,254
却,253
选择,253
报告,253
芯片,253
同比,252
直接,251
能够,250
之一,250
增加,249
价格,248
受,247
好,246
只是,246
以来,246
随着,244
首次,244
强调,243
接受,243
什么,242
拥有,241
达,241
一名,240
只,239
导致,239
DeepSeek,239
是否,237
晶片,237
