词,频次
公司,1622
市场,964
模型,900
企业,880
全球,763
报道,755
科技,747
发展,697
技术,653
问题,652
国家,647
人工智能,641
增长,614
投资,591
经济,575
持续,569
能力,560
数据,549
机器人,549
工作,541
提供,533
合作,512
计划,508
政府,499
发布,489
支持,488
显示,482
影响,472
超过,460
领域,454
使用,452
重要,445
安全,427
完成,419
集团,415
平台,414
业务,412
开始,400
研究,399
产品,397
时间,374
系统,374
服务,372
推动,366
员工,362
继续,355
获得,348
智能,343
需求,342
行业,339
活动,335
世界,332
特朗普,332
项目,326
进一步,324
预计,324
部分,314
风险,314
就是,313
提升,309
不同,306
用户,305
应用,305
国际,304
成本,301
推出,298
媒体,295
规模,294
出现,293
核心,291
新元,288
机构,287
目标,281
中心,280
实现,280
带来,277
政策,276
发生,275
文化,273
团队,273
北京,271
方式,270
最大,266
进入,265
伟达,263
家庭,263
综合,261
发现,260
甚至,260
孩子,258
长期,255
传统,255
投资者,255
不会,254
选择,253
报告,253
芯片,253
直接,251
增加,249
价格,248
接受,243
拥有,241
导致,239
是否,237
晶片,237
交易,237
历史,234
政治,232
调查,231
关注,229
来自,229
参与,228
任务,225
社会,222
加强,221
人士,219
融资,219
无法,218
压力,217
总统,216
汽车,216
透露,212
地区,212
首席,211
环境,211
共同,211
管理,211
视频,210
稳定,210
调整,208
学生,208
客户,208
处理,207
达到,206
产业,205
真正,204
收入,202
整体,202
不断,201
消息,201
引发,200
最终,200
估值,200
非常,199
信息,199
上市,199
上涨,199
创新,198
工具,197
战略,195
面对,195
健康,195
场景,195
协助,194
人类,193
挑战,192
举行,192
建设,192
社区,191
网络,190
造成,189
人员,188
生活,188
公布,188
移民,188
分析,187
训练,187
正式,186
不能,185
至少,185
展开,184
资本,184
价值,183
行动,183
关系,183
华裔,183
扩大,182
旗下,181
设计,181
公开,181
存在,180
制造,180
建立,179
投入,178
生产,178
总理,178
组织,178
预期,178
品牌,177
资金,177
竞争,177
帮助,176
时代,176
空间,176
主席,173
表现,173
基础设施,173
语言,173
联合早报,172
面临,171
关键,171
时说,170
保持,168
完全,167
联合,166
战争,166
官方,166
截至,166
阶段,165
讨论,165
知道,165
准备,165
减少,165
措施,164
看到,164
过程,164
访问,164
运营,164
记者,163
彭博社,163
区域,162
全面,162
商业,162
提出,162
双方,162
公众,161
开发,161
意味着,161
消费者,161
回应,161
股价,161
引述,161
执行,161
代表,160
资源,160
重新,160
数据中心,160
贸易,160
内容,159
加入,159
确保,159
大陆,159
欧洲,158
资产,158
中东,157
机会,156
警方,156
小米,155
明显,153
出口,153
成立,152
取得,152
最新,152
地方,151
巨头,151
消费,151
实施,151
特别,150
利用,150
形成,149
负责,147
一定,147
用于,147
自动,147
当局,146
位于,146
教育,145
城市,145
咖啡,144
监管,144
路透社,144
考虑,144
同样,143
支付,143
改变,142
不少,142
下降,142
收购,142
越来越,141
尤其,141
维持,141
官员,141
学习,141
法律,141
业绩,141
最高,140
受访,140
测试,139
现场,139
大量,139
大幅,139
大家,138
其实,138
告诉,138
应对,138
模式,138
开放,137
经营,137
行为,137
代码,137
理解,136
采用,136
个人,136
基础,136
解决,136
微信,136
文章,136
了解,135
小时,135
分别,135
创始人,135
能源,135
突破,135
